Date,DX-Y.NYB,EFA,GLD,GSG,IEF,QQQ,SHY,SPY,TLT,VNQ,XLF,XLU
2006-07-01,85.30000305175781,37.9650764465332,63.15999984741211,50.75,50.62605285644531,31.911075592041016,58.087039947509766,89.77483367919922,48.02626037597656,31.216697692871094,18.454458236694336,17.574621200561523
2006-08-01,85.05000305175781,38.932621002197266,62.290000915527344,47.130001068115234,51.51697540283203,33.433528900146484,58.51643371582031,91.73388671875,49.488651275634766,32.30436325073242,18.67203140258789,18.05760955810547
2006-09-01,85.97000122070312,39.01902389526367,59.470001220703125,42.06999969482422,52.146278381347656,34.96455001831055,58.772674560546875,93.79840087890625,50.436946868896484,32.630680084228516,19.313581466674805,17.652524948120117
2006-10-01,85.31999969482422,40.48188018798828,60.2400016784668,41.0,52.42618942260742,36.64570999145508,59.015953063964844,97.18008422851562,50.86468505859375,34.92495346069336,19.878089904785156,18.73733901977539
2006-11-01,82.91999816894531,41.72587966918945,64.38999938964844,43.04999923706055,53.11912536621094,37.90221405029297,59.29912567138672,99.11258697509766,52.044883728027344,36.59479522705078,20.018354415893555,19.234689712524414
2006-12-01,83.72000122070312,42.16934585571289,63.209999084472656,40.06999969482422,52.29505157470703,37.14485549926758,59.16398239135742,99.88129425048828,50.476104736328125,35.22691345214844,20.61307144165039,19.224224090576172
2007-01-01,84.61000061035156,43.6597900390625,64.83000183105469,39.04999923706055,52.42552947998047,37.9742546081543,59.65522384643555,101.94842529296875,50.33131408691406,39.074066162109375,20.963953018188477,19.33024024963379
2007-02-01,83.56999969482422,43.60685729980469,66.4800033569336,40.5,53.300262451171875,37.33661651611328,59.86371612548828,99.94845581054688,51.826053619384766,38.019771575927734,20.3250732421875,20.355131149291992
2007-03-01,82.93000030517578,44.87125778198242,65.73999786376953,41.5,53.25288772583008,37.508941650390625,60.156089782714844,100.70733642578125,50.95761489868164,37.01680374145508,20.144161224365234,20.97323226928711
2007-04-01,81.44999694824219,46.553192138671875,67.08999633789062,41.689998626708984,53.5446891784668,39.62777328491211,60.32206344604492,105.58536529541016,51.42454528808594,37.183998107910156,21.012470245361328,22.122177124023438
2007-05-01,82.30000305175781,47.65290832519531,65.54000091552734,41.20000076293945,52.80406188964844,40.877994537353516,60.288055419921875,109.16683959960938,50.23680877685547,37.04322052001953,21.51776695251465,22.223094940185547
2007-06-01,81.91999816894531,47.50001525878906,64.2699966430664,42.4900016784668,52.54384994506836,41.04181671142578,60.571292877197266,107.10907745361328,49.71463394165039,33.28962326049805,20.54123878479004,21.022714614868164
2007-07-01,80.7699966430664,46.412052154541016,65.79000091552734,44.52000045776367,53.738460540771484,41.01351547241211,61.10919189453125,104.20266723632812,51.36908721923828,30.922529220581055,18.78112030029297,20.323097229003906
2007-08-01,80.79000091552734,46.11798858642578,66.5199966430664,43.099998474121094,54.952457427978516,42.169803619384766,61.75142288208008,105.53985595703125,52.28409957885742,33.00810623168945,19.266357421875,20.643999099731445
2007-09-01,77.72000122070312,48.570335388183594,73.51000213623047,47.16999816894531,54.997039794921875,44.36156463623047,62.090614318847656,109.10814666748047,52.3938102722168,33.9487419128418,19.591739654541016,21.285776138305664
2007-10-01,76.4800033569336,50.63454055786133,78.62000274658203,50.0,55.60466003417969,47.509925842285156,62.394771575927734,111.113037109375,53.3552360534668,35.0211296081543,19.397401809692383,22.863204956054688
2007-11-01,76.1500015258789,48.799686431884766,77.31999969482422,49.77000045776367,57.86574172973633,44.29829406738281,63.50893783569336,106.80929565429688,56.1827507019043,31.704299926757812,17.827436447143555,23.014020919799805
2007-12-01,76.69999694824219,46.16505432128906,82.45999908447266,52.7400016784668,57.69198989868164,44.22058868408203,63.506839752197266,105.04903411865234,55.628639221191406,29.501083374023438,16.637020111083984,22.798574447631836
2008-01-01,75.18000030517578,43.6296272277832,91.4000015258789,52.5,60.04899978637695,39.00342559814453,64.99539947509766,99.22147369384766,57.2508659362793,29.753948211669922,16.91046714782715,21.284528732299805
2008-02-01,73.70999908447266,43.18332290649414,96.18000030517578,58.40999984741211,60.603187561035156,37.11936569213867,65.49324798583984,96.65735626220703,56.79281997680664,28.807353973388672,14.98961067199707,20.410785675048828
2008-03-01,71.80000305175781,43.364253997802734,90.41000366210938,57.86000061035156,61.416107177734375,37.78485107421875,65.70592498779297,95.32115173339844,57.9941291809082,30.44192123413086,14.432504653930664,20.589872360229492
2008-04-01,72.51000213623047,45.72245407104492,86.6500015258789,62.599998474121094,59.91295623779297,40.832923889160156,65.14570617675781,100.35877227783203,56.521610260009766,32.63247299194336,15.566787719726562,21.79886817932129
2008-05-01,72.87999725341797,46.265254974365234,87.44999694824219,67.9000015258789,58.8629264831543,43.25471878051758,64.92967987060547,101.87586212158203,55.03666687011719,32.563636779785156,14.484553337097168,22.580524444580078
2008-06-01,72.45999908447266,41.416175842285156,91.4000015258789,74.91000366210938,59.5150260925293,39.06850051879883,65.04036712646484,92.89683532714844,56.496437072753906,28.72364616394043,11.85205364227295,22.247093200683594
2008-07-01,73.2300033569336,40.79888153076172,90.08000183105469,64.93000030517578,59.95575714111328,39.34675598144531,65.32593536376953,92.52252960205078,56.29037094116211,30.013668060302734,12.765625,20.969263076782227
2008-08-01,77.37999725341797,39.06590270996094,81.70999908447266,60.06999969482422,60.863525390625,39.918006896972656,65.59366607666016,93.95233917236328,57.830780029296875,30.72614288330078,12.641691207885742,20.737979888916016
